proposalId,action,reviewCategory,riskLevel,field,sourceType,sourceOwnerType,count,affectedProviders,duplicateClaimRows,reason,safeAutomation,liveMutationAllowed,reviewGateRequiredForProviderData
auto-deprioritize:city-provider-owned-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,city,provider_owned,provider_owned,197,197,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:name-provider-owned-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,name,provider_owned,provider_owned,197,197,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:region-provider-owned-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,region,provider_owned,provider_owned,197,197,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:website-provider-owned-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,website,provider_owned,provider_owned,196,196,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:phone-provider-owned-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,phone,provider_owned,provider_owned,143,143,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:address-provider-owned-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,address,provider_owned,provider_owned,126,126,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:lat-provider-owned-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,lat,provider_owned,provider_owned,87,87,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:lon-provider-owned-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,lon,provider_owned,provider_owned,87,87,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:city-ngo-directory-official,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,city,ngo_directory,official,32,32,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:name-ngo-directory-official,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,name,ngo_directory,official,32,32,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:region-ngo-directory-official,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,region,ngo_directory,official,32,32,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:phone-ngo-directory-official,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,phone,ngo_directory,official,31,31,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:website-ngo-directory-official,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,website,ngo_directory,official,31,31,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:address-ngo-directory-official,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,address,ngo_directory,official,9,9,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:clinicianname-provider-owned-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,clinicianName,provider_owned,provider_owned,5,5,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:practicename-provider-owned-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,practiceName,provider_owned,provider_owned,5,5,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:website-provider-owned-official,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,website,provider_owned,official,5,5,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:city-provider-owned-official,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,city,provider_owned,official,4,4,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:name-provider-owned-official,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,name,provider_owned,official,4,4,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:region-provider-owned-official,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,region,provider_owned,official,4,4,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:city-ngo-directory-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,city,ngo_directory,provider_owned,3,3,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:lat-ngo-directory-official,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,lat,ngo_directory,official,3,3,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:lon-ngo-directory-official,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,lon,ngo_directory,official,3,3,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:name-ngo-directory-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,name,ngo_directory,provider_owned,3,3,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:region-ngo-directory-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,region,ngo_directory,provider_owned,3,3,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:website-ngo-directory-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,website,ngo_directory,provider_owned,3,3,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:address-ngo-directory-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,address,ngo_directory,provider_owned,2,2,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:phone-ngo-directory-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,phone,ngo_directory,provider_owned,2,2,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:lat-ngo-directory-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,lat,ngo_directory,provider_owned,1,1,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:lon-ngo-directory-provider-owned,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,lon,ngo_directory,provider_owned,1,1,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
auto-deprioritize:phone-provider-owned-official,auto_deprioritize_low_risk_claims,"ready to auto-apply, low risk",low,phone,provider_owned,official,1,1,,These are already stored low-risk public identity/contact/location claims from strong sources with no attached field-specific audit conflict.,Remove these claim-level checks from manual review dashboards unless the source changes; do not mutate providers.json from this proposal.,false,true
manual-batch:sensitive-tag-or-scope-evidence-review-high-tags-provider-owned-broad-tag-without-source-s,batch_manual_review,sensitive tag or scope evidence,high,tags,provider_owned,,152,56,96,Claims in this batch still need human judgement: sensitive tag or scope evidence.,Open source pages and remove unsupported tags or add short excerpts.,false,true
manual-batch:gp-source-corroboration-review-low-phone-third-party-directory-weak-gp-source,batch_manual_review,GP source corroboration,low,phone,third_party_directory,,126,126,0,Claims in this batch still need human judgement: GP source corroboration.,"Batch research: corroborate against practice-owned, Healthpoint-approved, HPI/FHIR, or PHO source.",false,true
manual-batch:gp-source-corroboration-review-medium-sourcequality-third-party-directory-weak-gp-source,batch_manual_review,GP source corroboration,medium,sourceQuality,third_party_directory,,126,126,0,Claims in this batch still need human judgement: GP source corroboration.,"Batch research: corroborate against practice-owned, Healthpoint-approved, HPI/FHIR, or PHO source.",false,true
manual-batch:sensitive-tag-or-scope-evidence-review-high-specialties-provider-owned-broad-tag-without-s,batch_manual_review,sensitive tag or scope evidence,high,specialties,provider_owned,,117,19,98,Claims in this batch still need human judgement: sensitive tag or scope evidence.,Open source pages and remove unsupported tags or add short excerpts.,false,true
manual-batch:sensitive-tag-or-scope-evidence-review-medium-fit-provider-owned-broad-tag-without-source-,batch_manual_review,sensitive tag or scope evidence,medium,fit,provider_owned,,56,56,0,Claims in this batch still need human judgement: sensitive tag or scope evidence.,Open source pages and remove unsupported tags or add short excerpts.,false,true
manual-batch:sensitive-tag-or-scope-evidence-review-high-tags-third-party-directory-weak-maori-evidence,batch_manual_review,sensitive tag or scope evidence,high,tags,third_party_directory,,32,32,0,Claims in this batch still need human judgement: sensitive tag or scope evidence.,Open source pages and remove unsupported tags or add short excerpts.,false,true
manual-batch:availability-review-review-high-availabilityevidence-official-register-high-risk-claim-aff,batch_manual_review,availability review,high,availabilityEvidence,official_register,,24,24,0,Claims in this batch still need human judgement: availability review.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:availability-review-review-high-availabilitystatus-official-register-high-risk-claim-affec,batch_manual_review,availability review,high,availabilityStatus,official_register,,24,24,0,Claims in this batch still need human judgement: availability review.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:referral-pathway-review-review-high-requiresreferral-healthpoint-high-risk-claim-affects-s,batch_manual_review,referral pathway review,high,requiresReferral,healthpoint,,18,18,0,Claims in this batch still need human judgement: referral pathway review.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:referral-pathway-review-review-high-referraltype-healthpoint-high-risk-claim-affects-safet,batch_manual_review,referral pathway review,high,referralType,healthpoint,,18,18,0,Claims in this batch still need human judgement: referral pathway review.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:referral-pathway-review-review-medium-referralsourceexcerpt-healthpoint-claim-is-usable-bu,batch_manual_review,referral pathway review,medium,referralSourceExcerpt,healthpoint,,18,18,0,Claims in this batch still need human judgement: referral pathway review.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:referral-pathway-review-review-high-requiresreferral-provider-owned-high-risk-claim-affect,batch_manual_review,referral pathway review,high,requiresReferral,provider_owned,,17,17,0,Claims in this batch still need human judgement: referral pathway review.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:referral-pathway-review-review-high-referraltype-provider-owned-high-risk-claim-affects-sa,batch_manual_review,referral pathway review,high,referralType,provider_owned,,17,17,0,Claims in this batch still need human judgement: referral pathway review.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:referral-pathway-review-review-medium-referralsourceexcerpt-provider-owned-claim-is-usable,batch_manual_review,referral pathway review,medium,referralSourceExcerpt,provider_owned,,17,17,0,Claims in this batch still need human judgement: referral pathway review.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:sensitive-tag-or-scope-evidence-review-medium-phonesupport-healthpoint-weak-telehealth-evi,batch_manual_review,sensitive tag or scope evidence,medium,phoneSupport,healthpoint,,16,16,0,Claims in this batch still need human judgement: sensitive tag or scope evidence.,Open source pages and remove unsupported tags or add short excerpts.,false,true
manual-batch:sensitive-tag-or-scope-evidence-review-high-onlineavailable-healthpoint-weak-telehealth-ev,batch_manual_review,sensitive tag or scope evidence,high,onlineAvailable,healthpoint,,16,16,0,Claims in this batch still need human judgement: sensitive tag or scope evidence.,Open source pages and remove unsupported tags or add short excerpts.,false,true
manual-batch:sensitive-tag-or-scope-evidence-review-high-tags-official-register-weak-telehealth-evidenc,batch_manual_review,sensitive tag or scope evidence,high,tags,official_register,,16,16,0,Claims in this batch still need human judgement: sensitive tag or scope evidence.,Open source pages and remove unsupported tags or add short excerpts.,false,true
manual-batch:sensitive-tag-or-scope-evidence-review-medium-phonesupport-provider-owned-weak-telehealth-,batch_manual_review,sensitive tag or scope evidence,medium,phoneSupport,provider_owned,,15,15,0,Claims in this batch still need human judgement: sensitive tag or scope evidence.,Open source pages and remove unsupported tags or add short excerpts.,false,true
manual-batch:sensitive-tag-or-scope-evidence-review-high-onlineavailable-provider-owned-weak-telehealth,batch_manual_review,sensitive tag or scope evidence,high,onlineAvailable,provider_owned,,15,15,0,Claims in this batch still need human judgement: sensitive tag or scope evidence.,Open source pages and remove unsupported tags or add short excerpts.,false,true
manual-batch:sensitive-tag-or-scope-evidence-review-high-tags-provider-owned-weak-maori-evidence,batch_manual_review,sensitive tag or scope evidence,high,tags,provider_owned,,9,5,4,Claims in this batch still need human judgement: sensitive tag or scope evidence.,Open source pages and remove unsupported tags or add short excerpts.,false,true
manual-batch:sensitive-tag-or-scope-evidence-review-high-tags-professional-directory-broad-tag-without-,batch_manual_review,sensitive tag or scope evidence,high,tags,professional_directory,,9,4,5,Claims in this batch still need human judgement: sensitive tag or scope evidence.,Open source pages and remove unsupported tags or add short excerpts.,false,true
manual-batch:sensitive-tag-or-scope-evidence-review-high-tags-healthpoint-broad-tag-without-source-supp,batch_manual_review,sensitive tag or scope evidence,high,tags,healthpoint,,8,3,5,Claims in this batch still need human judgement: sensitive tag or scope evidence.,Open source pages and remove unsupported tags or add short excerpts.,false,true
manual-batch:sensitive-tag-or-scope-evidence-review-high-tags-provider-owned-weak-rainbow-evidence,batch_manual_review,sensitive tag or scope evidence,high,tags,provider_owned,,6,4,2,Claims in this batch still need human judgement: sensitive tag or scope evidence.,Open source pages and remove unsupported tags or add short excerpts.,false,true
manual-batch:availability-review-review-high-availabilityevidence-provider-owned-high-risk-claim-affect,batch_manual_review,availability review,high,availabilityEvidence,provider_owned,,5,5,0,Claims in this batch still need human judgement: availability review.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:availability-review-review-high-availabilitystatus-provider-owned-high-risk-claim-affects-,batch_manual_review,availability review,high,availabilityStatus,provider_owned,,5,5,0,Claims in this batch still need human judgement: availability review.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:directory-direct-contact-confusion-review-high-tags-provider-owned-high-risk-claim-affects,batch_manual_review,directory/direct-contact confusion,high,tags,provider_owned,,5,1,4,Claims in this batch still need human judgement: directory/direct-contact confusion.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:directory-direct-contact-confusion-review-high-tags-healthpoint-high-risk-claim-affects-sa,batch_manual_review,directory/direct-contact confusion,high,tags,healthpoint,,5,1,4,Claims in this batch still need human judgement: directory/direct-contact confusion.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:sensitive-tag-or-scope-evidence-review-medium-fit-professional-directory-broad-tag-without,batch_manual_review,sensitive tag or scope evidence,medium,fit,professional_directory,,4,4,0,Claims in this batch still need human judgement: sensitive tag or scope evidence.,Open source pages and remove unsupported tags or add short excerpts.,false,true
manual-batch:location-or-distance-evidence-review-low-website-professional-directory-register-only-publ,batch_manual_review,location or distance evidence,low,website,professional_directory,,3,3,0,Claims in this batch still need human judgement: location or distance evidence.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:location-or-distance-evidence-review-medium-sourcequality-professional-directory-register-,batch_manual_review,location or distance evidence,medium,sourceQuality,professional_directory,,3,3,0,Claims in this batch still need human judgement: location or distance evidence.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:sensitive-tag-or-scope-evidence-review-medium-fit-healthpoint-broad-tag-without-source-sup,batch_manual_review,sensitive tag or scope evidence,medium,fit,healthpoint,,3,3,0,Claims in this batch still need human judgement: sensitive tag or scope evidence.,Open source pages and remove unsupported tags or add short excerpts.,false,true
manual-batch:sensitive-tag-or-scope-evidence-review-high-tags-provider-owned-weak-telehealth-evidence,batch_manual_review,sensitive tag or scope evidence,high,tags,provider_owned,,3,3,0,Claims in this batch still need human judgement: sensitive tag or scope evidence.,Open source pages and remove unsupported tags or add short excerpts.,false,true
manual-batch:sensitive-tag-or-scope-evidence-review-high-tags-healthpoint-weak-telehealth-evidence,batch_manual_review,sensitive tag or scope evidence,high,tags,healthpoint,,3,3,0,Claims in this batch still need human judgement: sensitive tag or scope evidence.,Open source pages and remove unsupported tags or add short excerpts.,false,true
manual-batch:referral-pathway-review-review-high-requiresreferral-ngo-directory-high-risk-claim-affects,batch_manual_review,referral pathway review,high,requiresReferral,ngo_directory,,2,2,0,Claims in this batch still need human judgement: referral pathway review.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:referral-pathway-review-review-high-referraltype-ngo-directory-high-risk-claim-affects-saf,batch_manual_review,referral pathway review,high,referralType,ngo_directory,,2,2,0,Claims in this batch still need human judgement: referral pathway review.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:referral-pathway-review-review-medium-referralsourceexcerpt-ngo-directory-claim-is-usable-,batch_manual_review,referral pathway review,medium,referralSourceExcerpt,ngo_directory,,2,2,0,Claims in this batch still need human judgement: referral pathway review.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:sensitive-tag-or-scope-evidence-review-medium-phonesupport-ngo-directory-weak-telehealth-e,batch_manual_review,sensitive tag or scope evidence,medium,phoneSupport,ngo_directory,,2,2,0,Claims in this batch still need human judgement: sensitive tag or scope evidence.,Open source pages and remove unsupported tags or add short excerpts.,false,true
manual-batch:sensitive-tag-or-scope-evidence-review-high-onlineavailable-ngo-directory-weak-telehealth-,batch_manual_review,sensitive tag or scope evidence,high,onlineAvailable,ngo_directory,,2,2,0,Claims in this batch still need human judgement: sensitive tag or scope evidence.,Open source pages and remove unsupported tags or add short excerpts.,false,true
manual-batch:sensitive-scope-evidence-review-low-website-professional-directory-register-only-public-co,batch_manual_review,sensitive/scope evidence,low,website,professional_directory,,2,2,0,Claims in this batch still need human judgement: sensitive/scope evidence.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:sensitive-scope-evidence-review-medium-sourcequality-professional-directory-register-only-,batch_manual_review,sensitive/scope evidence,medium,sourceQuality,professional_directory,,2,2,0,Claims in this batch still need human judgement: sensitive/scope evidence.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:availability-review-review-high-availabilityevidence-professional-directory-high-risk-clai,batch_manual_review,availability review,high,availabilityEvidence,professional_directory,,1,1,0,Claims in this batch still need human judgement: availability review.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:availability-review-review-high-availabilitystatus-professional-directory-high-risk-claim-,batch_manual_review,availability review,high,availabilityStatus,professional_directory,,1,1,0,Claims in this batch still need human judgement: availability review.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:directory-direct-contact-confusion-review-low-phone-provider-owned-directory-treated-direc,batch_manual_review,directory/direct-contact confusion,low,phone,provider_owned,,1,1,0,Claims in this batch still need human judgement: directory/direct-contact confusion.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:directory-direct-contact-confusion-review-medium-firststep-provider-owned-directory-treate,batch_manual_review,directory/direct-contact confusion,medium,firstStep,provider_owned,,1,1,0,Claims in this batch still need human judgement: directory/direct-contact confusion.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:directory-direct-contact-confusion-review-high-type-provider-owned-directory-treated-direc,batch_manual_review,directory/direct-contact confusion,high,type,provider_owned,,1,1,0,Claims in this batch still need human judgement: directory/direct-contact confusion.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:directory-direct-contact-confusion-review-low-phone-healthpoint-directory-treated-direct,batch_manual_review,directory/direct-contact confusion,low,phone,healthpoint,,1,1,0,Claims in this batch still need human judgement: directory/direct-contact confusion.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:directory-direct-contact-confusion-review-medium-email-healthpoint-directory-treated-direc,batch_manual_review,directory/direct-contact confusion,medium,email,healthpoint,,1,1,0,Claims in this batch still need human judgement: directory/direct-contact confusion.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:directory-direct-contact-confusion-review-medium-firststep-healthpoint-directory-treated-d,batch_manual_review,directory/direct-contact confusion,medium,firstStep,healthpoint,,1,1,0,Claims in this batch still need human judgement: directory/direct-contact confusion.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:directory-direct-contact-confusion-review-high-type-healthpoint-directory-treated-direct,batch_manual_review,directory/direct-contact confusion,high,type,healthpoint,,1,1,0,Claims in this batch still need human judgement: directory/direct-contact confusion.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:location-or-distance-evidence-review-low-phone-ngo-directory-conflict-phone,batch_manual_review,location or distance evidence,low,phone,ngo_directory,,1,1,0,Claims in this batch still need human judgement: location or distance evidence.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:location-or-distance-evidence-review-high-type-ngo-directory-conflict-type,batch_manual_review,location or distance evidence,high,type,ngo_directory,,1,1,0,Claims in this batch still need human judgement: location or distance evidence.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:needs-quick-human-check-review-high-type-provider-owned-direct-provider-directory-tag-revi,batch_manual_review,needs quick human check,high,type,provider_owned,,1,1,0,Claims in this batch still need human judgement: needs quick human check.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:needs-quick-human-check-review-high-tags-provider-owned-direct-provider-directory-tag-revi,batch_manual_review,needs quick human check,high,tags,provider_owned,,1,1,0,Claims in this batch still need human judgement: needs quick human check.,"Review representative items first, then apply safe decisions individually.",false,true
manual-batch:sensitive-tag-or-scope-evidence-review-high-needscope-provider-owned-broad-tag-without-sou,batch_manual_review,sensitive tag or scope evidence,high,needScope,provider_owned,,1,1,0,Claims in this batch still need human judgement: sensitive tag or scope evidence.,Open source pages and remove unsupported tags or add short excerpts.,false,true
manual-batch:sensitive-tag-or-scope-evidence-review-high-tags-provider-owned-weak-pasifika-evidence,batch_manual_review,sensitive tag or scope evidence,high,tags,provider_owned,,1,1,0,Claims in this batch still need human judgement: sensitive tag or scope evidence.,Open source pages and remove unsupported tags or add short excerpts.,false,true
manual-batch:sensitive-tag-or-scope-evidence-review-high-tags-professional-directory-weak-rainbow-evide,batch_manual_review,sensitive tag or scope evidence,high,tags,professional_directory,,1,1,0,Claims in this batch still need human judgement: sensitive tag or scope evidence.,Open source pages and remove unsupported tags or add short excerpts.,false,true
